Gene,pvalue,estimate,fdr,Result,Construct
Region_323,9.979784035867754e-5,-0.021740550059683613,7.160099022559087e-4,Depleted,VPR
Region_324,0.7673778448100418,0.001976861030032046,0.8092071615759302,NoChange,VPR
Region_325,0.003513219298985088,-0.029821860980765114,0.010657551162021878,Depleted,VPR
Region_326,0.02757416021991389,-0.020578923867482047,0.052356806052662054,NoChange,VPR
Region_327,5.132882878120465e-4,-0.01230188250306496,0.0024600073942871634,Depleted,VPR
Region_328,2.0025085796299643e-4,0.021794344870000287,0.001221848967324285,Enriched,VPR
Region_329,0.05661248493620957,0.01681156535083751,0.0910634989009492,NoChange,VPR
Region_330,0.39856927090823213,0.004192688607610225,0.467323762517564,NoChange,VPR
Region_331,0.07112380537902509,-0.013008055831907627,0.11066423418698569,NoChange,VPR
Region_332,0.006438840888681294,-0.0168891309211818,0.016354279963640396,Depleted,VPR
Region_333,0.040367489818291455,-0.02031771530429201,0.06990844980025952,NoChange,VPR
Region_334,9.84786070972528e-5,0.020321152797597577,7.121972865273323e-4,Enriched,VPR
Region_335,0.0024573510274913035,-0.01670327255098347,0.008197215235616747,Depleted,VPR
Region_336,8.242260239391665e-5,-0.02061324131064523,6.479133266443536e-4,Depleted,VPR
Region_337,0.07536536305161315,0.016716179146450558,0.11666145239496281,NoChange,VPR
Region_338,0.103220348777087,-0.012429937064664968,0.1509389109549228,NoChange,VPR
Region_339,0.182605347211494,0.0042031363183645904,0.24528266549656844,NoChange,VPR
Region_340,0.002547975823563269,-0.02941248922620544,0.008437253276561153,Depleted,VPR
Region_341,0.047663317923677416,-0.028915684083919462,0.07891509048169301,NoChange,VPR
Region_342,0.05185337978926399,-0.014681860690538718,0.0846127352517954,NoChange,VPR
Region_344,0.09431020836921894,0.012263492451006823,0.1400962377558764,NoChange,VPR
Region_345,0.41927743901463754,-0.00625366798554574,0.4878079856746877,NoChange,VPR
Region_346,0.12456045837789706,-0.02175499517608197,0.17732701476160465,NoChange,VPR
Region_347,0.005203581207069889,0.016313384415034226,0.01404190271997367,Enriched,VPR
Region_348,7.701779686847837e-6,0.03662453116757323,1.12296916724362e-4,Enriched,VPR
Region_349,0.019381964493792887,-0.017050214830378416,0.03937369865705342,Depleted,VPR
Region_350,0.039259000872173,-0.009968316319503229,0.06865551313142618,NoChange,VPR
Region_351,3.133582813481482e-4,0.0319536194219995,0.00172729198987028,Enriched,VPR
Region_352,0.07764560498779206,-0.06117661261034149,0.11946348523306115,NoChange,VPR
Region_353,0.3381762151142064,0.009434952454765312,0.40870494446957567,NoChange,VPR
Region_354,0.25672201950277374,-0.013367535543187342,0.3232266095132416,NoChange,VPR
Region_355,0.009371115485394944,-0.028003154509775283,0.02236437348056162,Depleted,VPR
Region_356,0.016525458966254205,-0.024676052077939617,0.03522383311439929,Depleted,VPR
Region_358,0.6576984998165112,-0.004105842946709504,0.7103458110324087,NoChange,VPR
Region_359,0.19404961656967037,-0.0075680115148133486,0.25759302992508376,NoChange,VPR
Region_360,8.474052241460998e-5,-0.02098424386420853,6.514953683842588e-4,Depleted,VPR
Region_361,0.1335243335756046,-0.017171441076961065,0.1880155725114432,NoChange,VPR
Region_362,9.024520421618238e-4,-0.03941859328615316,0.003740164320796386,Depleted,VPR
Region_363,0.8090069471524496,-0.0017193517690768723,0.8406233106043843,NoChange,VPR
Region_364,2.451299221241643e-4,-0.012551900194131245,0.0014204964717964394,Depleted,VPR
Region_365,0.27884391526011015,-0.009683105516883166,0.3453080813632049,NoChange,VPR
Region_366,0.026869055284072026,-0.015903196464284626,0.05124393665991796,NoChange,VPR
Region_367,0.0375971515426917,-0.009561697542006694,0.06677372297562534,NoChange,VPR
Region_368,0.9956705328881066,-4.211217555819408e-5,0.9978782280829804,NoChange,VPR
Region_369,3.431200611560325e-5,-0.018461825820799357,3.4085773108247626e-4,Depleted,VPR
Region_370,0.41416499682950875,0.006727831586396837,0.4837275931962221,NoChange,VPR
Region_371,0.2848593973595639,0.009432377964854872,0.3513136360341689,NoChange,VPR
Region_372,0.008891907373041172,-0.017816259126385094,0.02160829103556242,Depleted,VPR
Region_373,0.16033056272408944,-0.010481285421499887,0.22027177614373383,NoChange,VPR
Region_374,0.044029306844678096,-0.015283806478005967,0.07453650447114045,NoChange,VPR
Region_375,1.6704127895127442e-4,-0.03475822825519007,0.0010559812319716928,Depleted,VPR
Region_376,0.01739436758227756,-0.032257782385466734,0.036315261649835825,Depleted,VPR
Region_377,0.04398389494290171,-0.012792556860156125,0.07453650447114045,NoChange,VPR
Region_378,6.604607293029993e-5,-0.031931873925037615,5.471518623006805e-4,Depleted,VPR
Region_379,0.001518299485831471,0.018460287469693182,0.005602215245680203,Enriched,VPR
Region_380,5.530474880349677e-5,0.02031395021865169,4.761475516034389e-4,Enriched,VPR
Region_381,0.10528878185691537,-0.013052678989045299,0.153270626084785,NoChange,VPR
Region_382,0.08084494026109963,-0.009853175440698825,0.1228299596572001,NoChange,VPR
Region_383,0.6159020319668566,-0.0032515396181434257,0.6718771280051479,NoChange,VPR
Region_384,5.893661740055404e-4,0.015615155919499569,0.0027045026461980128,Enriched,VPR
Region_385,0.047357530516493745,0.01824052625634476,0.07865252935912276,NoChange,VPR
Region_386,0.026145982753289877,0.0165687707507448,0.05018252316130371,NoChange,VPR
Region_387,0.03834515355902875,0.02139973047305751,0.0678356532629393,NoChange,VPR
Region_388,0.6485697247878083,0.0025350731250052714,0.7030701734487051,NoChange,VPR
Region_389,0.0023528280599331404,-0.025518494457772413,0.007906901733009513,Depleted,VPR
Region_390,0.5346172027854592,0.007023757435626586,0.5996202869951056,NoChange,VPR
Region_391,0.00932472303147163,-0.027220322670868703,0.02236437348056162,Depleted,VPR
Region_392,0.0048621883680362915,-0.025417451820895783,0.013359933996063245,Depleted,VPR
Region_393,0.0850198577493384,-0.01694840045389764,0.12761908172320674,NoChange,VPR
Region_394,0.3713941278508428,-0.006062657829450523,0.44234557520047685,NoChange,VPR
Region_395,0.7404009875692108,-0.0033193359542450962,0.7846688074590463,NoChange,VPR
Region_396,8.701787106164176e-7,0.03532850754007465,2.3136516305801223e-5,Enriched,VPR
Region_397,0.012082974408786442,-0.036798209326495836,0.027728318117779472,Depleted,VPR
Region_398,0.6000566409616934,-0.0036462483114202133,0.6607201016192094,NoChange,VPR
Region_399,0.05661205355570395,-0.023804159435747506,0.0910634989009492,NoChange,VPR
