bin,estimate,pval,fdr,speed,Result,Construct
PHOX2B.19046,-0.00465462945045219,0.142207901263772,0.46739014475547686,stable,NoChange,KRAB
PHOX2B.19047,-0.00122310496885509,0.715065684608389,0.8867934433929062,stable,NoChange,KRAB
PHOX2B.19048,2.1779298153303e-4,0.943971728585123,0.9812306823178152,early,NoChange,KRAB
PHOX2B.19049,-0.00108814779198855,0.721779191813779,0.8892180031280151,stable,NoChange,KRAB
PHOX2B.19050,-0.00325488344695381,0.270205145252473,0.6043620840138009,early,NoChange,KRAB
PHOX2B.19051,-0.00493234710086513,0.120324079092156,0.4355569988077245,stable,NoChange,KRAB
PHOX2B.19052,-0.00506153442529425,0.0931518313527712,0.38943206217582543,stable,NoChange,KRAB
PHOX2B.19053,-0.0101089633422534,0.00586449038896911,0.1287032451111948,early,NoChange,KRAB
PHOX2B.19054,-0.00487711711035138,0.204767841699071,0.5425974673955893,stable,NoChange,KRAB
PHOX2B.19055,-0.00144892080235735,0.705286141519987,0.882623673175091,stable,NoChange,KRAB
PHOX2B.19056,0.00475941466784872,0.122253331972568,0.4384152632936407,stable,NoChange,KRAB
PHOX2B.19057,0.00369439212087616,0.213289726858384,0.5504632808038885,early,NoChange,KRAB
PHOX2B.19058,-0.00122309584297679,0.721479766680029,0.8891103295892808,early,NoChange,KRAB
PHOX2B.19059,-0.00608138235571209,0.0495748555056599,0.29929253018814095,early,NoChange,KRAB
PHOX2B.19060,-0.00798994185606697,0.0097647966953823,0.15731858876385185,early,NoChange,KRAB
PHOX2B.19061,-0.00611677313289712,0.0108799434148267,0.16549779096196823,stable,NoChange,KRAB
PHOX2B.19062,-0.00179685693980274,0.502073660850367,0.7761447364774772,stable,NoChange,KRAB
PHOX2B.19063,-0.00368113143652435,0.149509795445963,0.47824259931959434,early,NoChange,KRAB
PHOX2B.19064,-0.00299291226433374,0.324259374007638,0.6511274629598619,stable,NoChange,KRAB
PHOX2B.19065,-0.00194861798823777,0.515680898072635,0.7831625916123792,early,NoChange,KRAB
